idCommune;Code postal;Commune;Code departement
1;1370;SAINT-ETIENNE-DU-BOIS;1
2;1170;CHEVRY;1
3;1220;DIVONNE-LES-BAINS;1
4;1630;PERON;1
5;1200;VALSERHONE;1
6;1350;CULOZ;1
7;1630;ST-GENIS-POUILLY;1
8;1100;OYONNAX;1
9;1130;ST-GERMAIN-DE-JOUX;1
10;1170;GEX;1
11;1500;AMBERIEU-EN-BUGEY;1
12;1170;CESSY;1
13;1150;SAULT-BRENAZ;1
14;1210;FERNEY-VOLTAIRE;1
15;1170;SEGNY;1
16;1150;LAGNIEU;1
17;1130;LE POIZAT-LALLEYRIAT;1
18;1300;BELLEY;1
19;1210;ORNEX;1
20;1590;DORTAN;1
21;1280;PREVESSIN-MOENS;1
22;1110;BRENOD;1
23;1640;SAINT-JEAN-LE-VIEUX;1
24;1130;NANTUA;1
25;1500;SAINT-DENIS-EN-BUGEY;1
26;1710;THOIRY;1
27;1100;BELLIGNAT;1
28;1110;PLATEAU D'HAUTEVILLE;1
29;1410;LELEX;1
30;1170;VESANCY;1
31;1580;IZERNORE;1
32;1170;ECHENEVEX;1
33;1210;VERSONNEX;1
34;1150;SAINT-VULBAS;1
35;1550;COLLONGES;1
36;1260;CHAMPAGNE-EN-VALROMEY;1
37;1640;JUJURIEUX;1
38;1580;MATAFELON-GRANGES;1
39;1260;HAUT-VALROMEY;1
40;1100;ARBENT;1
41;1360;LOYETTES;1
42;1410;MIJOUX;1
43;1630;SERGY;1
44;1550;FARGES;1
45;1170;CROZET;1
46;1330;VILLARS-LES-DOMBES;1
47;1800;MEXIMIEUX;1
48;1090;MONTCEAUX;1
49;1120;MONTLUEL;1
50;1480;JASSANS-RIOTTIER;1
51;1480;BEAUREGARD;1
52;1120;DAGNEUX;1
53;1390;MIONNAY;1
54;1800;VILLIEU-LOYES-MOLLON;1
55;2300;CHAUNY;2
56;2000;LAON;2
57;2800;LA FERE;2
58;2000;URCEL;2
59;2410;SAINT GOBAIN;2
60;2700;TERGNIER;2
61;2670;FOLEMBRAY;2
62;2100;SAINT QUENTIN;2
63;2200;SOISSONS;2
64;2200;COURMELLES;2
65;2290;VIC SUR AISNE;2
66;2600;VILLERS-COTTERETS;2
67;2600;LARGNY SUR AUTOMNE;2
68;2880;NANTEUIL LA FOSSE;2
69;2370;VAILLY-SUR-AISNE;2
70;2600;COEUVRES ET VALSERY;2
71;2200;BELLEU;2
72;2400;CHATEAU THIERRY;2
73;2130;FERE EN TARDENOIS;2
74;3000;MOULINS;3
75;3400;YZEURE;3
76;3300;CUSSET;3
77;3200;VICHY;3
78;4200;SISTERON;4
79;4500;RIEZ;4
80;4400;ENCHASTRAYES;4
81;4160;CHATEAU-ARNOUX-SAINT-AUBAN;4
82;4000;DIGNE-LES-BAINS;4
83;4140;MONTCLAR;4
84;4260;ALLOS;4
85;4120;CASTELLANE;4
86;4850;JAUSIERS;4
87;4340;LE LAUZET UBAYE;4
88;4140;SEYNE;4
89;4500;SAINTE CROIX DU VERDON;4
90;4400;FAUCON-DE-BARCELONNETTE;4
91;4400;BARCELONNETTE;4
92;4800;GREOUX-LES-BAINS;4
93;4800;SAINT-MARTIN-DE-BROMES;4
94;4200;PEIPIN;4
95;4130;VOLX;4
96;4300;FORCALQUIER;4
97;4140;SELONNET;4
98;4100;MANOSQUE;4
99;4400;UVERNET-FOURS;4
100;4200;NOYERS-SUR-JABRON;4
101;4300;PIERRERUE;4
102;4700;ORAISON;4
103;4160;L ESCALE;4
104;4180;VILLENEUVE;4
105;4210;VALENSOLE;4
106;4290;VOLONNE;4
107;4220;SAINTE-TULLE;4
108;4230;SAINT-ETIENNE-LES-ORGUES;4
109;4120;DEMANDOLX;4
110;4330;BARREME;4
111;5300;LARAGNE-MONTEGLIN;5
112;5260;SAINT-MICHEL-DE-CHAILLOL;5
113;5230;MONTGARDIN;5
114;5560;VARS;5
115;5200;EMBRUN;5
116;5200;SAINT-SAUVEUR;5
117;5100;BRIANCON;5
118;5170;ORCIERES;5
119;5340;VALLOUISE-PELVOUX;5
120;5120;L'ARGENTIERE-LA-BESSEE;5
121;5000;GAP;5
122;5250;LE DEVOLUY;5
123;5800;LA CHAPELLE-EN-VALGAUDEMAR;5
124;5460;ABRIES-RISTOLAS;5
125;5240;LA SALLE;5
126;5400;VEYNES;5
127;5260;ANCELLE;5
128;5200;LES ORRES;5
129;5700;SERRES;5
130;5600;RISOUL;5
131;5230;CHORGES;5
132;5290;PUY SAINT VINCENT;5
133;5500;SAINT-BONNET-EN-CHAMPSAUR;5
134;5100;NEVACHE;5
135;5220;LE MONETIER-LES-BAINS;5
136;5230;LA BATIE NEUVE;5
137;5600;GUILLESTRE;5
138;5160;SAVINES-LE-LAC;5
139;5100;MONTGENEVRE;5
140;5500;LAYE;5
141;5200;PUY-SANIERES;5
142;5330;SAINT-CHAFFREY;5
143;6000;NICE;6
144;6300;NICE;6
145;6100;NICE;6
146;6730;SAINT-ANDRE DE LA ROCHE;6
147;6340;LA TRINITE;6
148;6950;FALICON;6
149;6200;NICE;6
150;6500;MENTON;6
151;6190;ROQUEBRUNE CAP MARTIN;6
152;6240;BEAUSOLEIL;6
153;6430;LA BRIGUE;6
154;6540;SAORGE;6
155;6430;TENDE;6
156;6380;SOSPEL;6
157;6500;CASTELLAR;6
158;6500;CASTILLON;6
159;6500;GORBIO;6
160;6380;MOULINET;6
161;6540;BREIL-SUR-ROYA;6
162;6500;SAINTE-AGNES;6
163;6230;VILLEFRANCHE-SUR-MER;6
164;6420;ISOLA;6
165;6470;PEONE;6
166;6420;VALDEBLORE;6
167;6310;BEAULIEU SUR MER;6
168;6440;PEILLON;6
169;6340;DRAP;6
170;6440;L'ESCARENE;6
171;6320;CAP-D AIL;6
172;6710;VILLARS-SUR-VAR;6
173;6450;SAINT-MARTIN-VESUBIE;6
174;6390;BENDEJUN;6
175;6660;SAINT-ETIENNE-DE-TINEE;6
176;6670;SAINT-MARTIN-DU-VAR;6
177;6390;CONTES;6
178;6320;LA TURBIE;6
179;6470;GUILLAUMES;6
180;6440;PEILLE;6
181;6360;EZE;6
182;6830;GILETTE;6
183;6450;ROQUEBILLIERE;6
184;6670;COLOMARS;6
185;6230;SAINT-JEAN-CAP-FERRAT;6
186;6670;LEVENS;6
187;6470;BEUIL;6
188;6390;BERRE-LES-ALPES;6
189;6830;TOUDON;6
190;6440;BLAUSASC;6
191;6450;BELVEDERE;6
192;6440;LUCERAM;6
193;6450;LANTOSQUE;6
194;6790;ASPREMONT;6
195;6450;LA BOLLENE-VESUBIE;6
196;6420;RIMPLAS;6
197;6340;CANTARON;6
198;6420;CLANS;6
199;6670;LA ROQUETTE SUR VAR;6
200;6450;UTELLE;6
201;6260;PUGET-THENIERS;6
202;6110;LE CANNET;6
203;6370;MOUANS-SARTOUX;6
204;6220;VALLAURIS;6
205;6600;ANTIBES;6
206;6160;ANTIBES;6
207;6550;LA ROQUETTE SUR SIAGNE;6
208;6250;MOUGINS;6
209;6410;BIOT;6
210;6400;CANNES;6
211;6150;CANNES;6
212;6210;MANDELIEU-LA-NAPOULE;6
213;6130;GRASSE;6
214;6580;PEGOMAS;6
215;6590;THEOULE-SUR-MER;6
216;6510;CARROS;6
217;6140;VENCE;6
218;6530;SAINT-CEZAIRE-SUR-SIAGNE;6
219;6510;LE BROC;6
220;6460;SAINT-VALLIER-DE-THIEY;6
221;6610;LA GAUDE;6
222;6620;LE BAR-SUR-LOUP;6
223;6560;VALBONNE;6
224;6620;GREOLIERES;6
225;6530;PEYMEINADE;6
226;6750;ANDON;6
227;6800;CAGNES SUR MER;6
228;6270;VILLENEUVE-LOUBET;6
229;6700;SAINT LAURENT DU VAR;6
230;6480;LA COLLE SUR LOUP;6
231;6570;SAINT-PAUL-DE-VENCE;6
232;7700;SAINT-JUST-D'ARDECHE;7
233;7600;VALS-LES-BAINS;7
234;7700;BOURG-SAINT-ANDEOL;7
235;7140;GRAVIERES;7
236;7150;SALAVAS;7
237;7200;AUBENAS;7
238;7800;LA-VOULTE-SUR-RHONE;7
239;7000;PRIVAS;7
240;7800;CHARMES-SUR-RHONE;7
241;7150;VALLON PONT D'ARC;7
242;7200;LABEGUDE;7
243;7120;RUOMS;7
244;7200;LANAS;7
245;7200;SAINT-SERNIN;7
246;7800;SAINT-GEORGES-LES-BAINS;7
247;7220;VIVIERS;7
248;7220;SAINT-MONTAN;7
249;7000;ST JULIEN EN ST ALBAN;7
250;7700;SAINT-MARTIN-D' ARDECHE;7
251;7300;TOURNON-SUR-RHONE;7
252;7130;SAINT-PERAY;7
253;7500;GUILHERAND-GRANGES;7
254;7100;ANNONAY;7
255;7370;SARRAS;7
256;7340;FELINES;7
257;7300;SAINT-JEAN-DE-MUZOLS;7
258;7430;DAVEZIEUX;7
259;8000;CHARLEVILLE-MEZIERES;8
260;8600;GIVET;8
261;8090;SAINT-LAURENT;8
262;8300;RETHEL;8
263;8200;SEDAN;8
264;8110;CARIGNAN;8
265;8200;BALAN;8
266;8140;BAZEILLES;8
267;9140;USTOU;9
268;9700;SAVERDUN;9
269;9000;FOIX;9
270;9100;SAINT-JEAN-DU-FALGA;9
271;9250;LUZENAC;9
272;9110;AX-LES-THERMES;9
273;9500;MIREPOIX;9
274;9300;LAVELANET;9
275;9100;PAMIERS;9
276;9350;DAUMAZAN-SUR-ARIZE;9
277;10300;SAINTE SAVINE;10
278;10430;ROSIERES PRES TROYES;10
279;10100;ROMILLY SUR SEINE;10
280;10800;SAINT JULIEN LES VILLAS;10
281;10120;SAINT ANDRE LES VERGERS;10
282;10000;TROYES;10
283;10400;TRAINEL;10
284;10600;LA CHAPELLE ST LUC;10
285;10200;BAR SUR AUBE;10
286;10150;PONTSAINTE MARIE;10
287;10400;NOGENT SUR SEINE;10
288;10420;LES NOES PRES TROYES;10
289;10200;COLOMBE LA FOSSE;10
290;10500;DIENVILLE;10
291;11000;CARCASSONNE;11
292;11400;CASTELNAUDARY;11
293;11150;PEXIORA;11
294;11800;TREBES;11
295;11290;LAVALETTE;11
296;11300;LIMOUX;11
297;11190;RENNES LES BAINS;11
298;11510;FITOU;11
299;11130;SIGEAN;11
300;11210;PORT-LA-NOUVELLE;11
301;11430;GRUISSAN;11
302;11370;LEUCATE;11
303;11100;NARBONNE;11
304;11110;VINASSAN;11
305;11560;FLEURY D AUDE;11
306;11200;BOUTENAC;11
307;11440;PEYRIAC DE MER;11
308;11100;BAGES;11
309;11200;LEZIGNAN-CORBIERES;11
310;11110;SALLES D AUDE;11
311;11120;MOUSSAN;11
312;11110;COURSAN;11
313;12000;LE MONASTERE;12
314;13002;MARSEILLE 2EME;13
315;13004;MARSEILLE 4EME;13
316;13001;MARSEILLE 1ER;13
317;13016;MARSEILLE 16EME;13
318;13015;MARSEILLE 15EME;13
319;13003;MARSEILLE 3EME;13
320;13014;MARSEILLE 14EME;13
321;13013;MARSEILLE 14EME;13
322;13010;MARSEILLE 10EME;13
323;13007;MARSEILLE 7EME;13
324;13005;MARSEILLE 5EME;13
325;13006;MARSEILLE 6EME;13
326;13009;MARSEILLE 9EME;13
327;13400;AUBAGNE;13
328;13008;MARSEILLE 8EME;13
329;13470;CARNOUX-EN-PROVENCE;13
330;13260;CASSIS;13
331;13360;ROQUEVAIRE;13
332;13600;LA CIOTAT;13
333;13112;LA DESTROUSSE;13
334;13390;AURIOL;13
335;13821;LA PENNE SUR HUVEAUNE;13
336;13720;LA BOUILLADISSE;13
337;13119;SAINT SAVOURNIN;13
338;13830;ROQUEFORT LA BEDOULE;13
339;13124;PEYPIN;13
340;13850;GREASQUE;13
341;13420;GEMENOS;13
342;13780;CUGES LES PINS;13
343;13013;MARSEILLE 13EME;13
344;13012;MARSEILLE 12EME;13
345;13380;PLAN DE CUQUES;13
346;13011;MARSEILLE 11EME;13
347;13004;MARSEILLE 12EME;13
348;13190;ALLAUCH;13
349;13140;MIRAMAS;13
350;13300;SALON-DE-PROVENCE;13
351;13100;AIX EN PROVENCE;13
352;13790;ROUSSET;13
353;13820;ENSUES-LA-REDONNE;13
354;13220;CHATEAUNEUF-LES-MARTIGUES;13
355;13127;VITROLLES;13
356;13700;MARIGNANE;13
357;13180;GIGNAC-LA-NERTHE;13
358;13630;EYRAGUES;13
359;13210;SAINT-REMY-DE-PROVENCE;13
360;13200;ARLES;13
361;13690;GRAVESON;13
362;13430;EYGUIERES;13
363;13160;CHATEAURENARD;13
364;14000;CAEN;14
365;14810;MERVILLE FRANCEVILLE;14
366;14450;GRANDCAMP-MAISY;14
367;14100;LISIEUX;14
368;14600;HONFLEUR;14
369;14360;TROUVILLE-SUR-MER;14
370;14160;DIVES-SUR-MER;14
371;14640;VILLERS-SUR-MER;14
372;14800;DEAUVILLE;14
373;14510;HOULGATE;14
374;14130;PONT-L EVEQUE;14
375;14910;BLONVILLE-SUR-MER;14
376;14800;TOURGEVILLE;14
377;14800;TOUQUES;14
378;14910;BENERVILLE-SUR-MER;14
379;14430;DOZULE;14
380;14600;EQUEMAUVILLE;14
381;14800;SAINT-ARNOULT;14
382;14600;RIVIERE-SAINT-SAUVEUR (LA);14
383;16000;ANGOULEME;16
384;16600;RUELLE-SUR-TOUVRE;16
385;16800;SOYAUX;16
386;16300;BARBEZIEUX SAINT HILAIRE;16
387;16340;L'ISLE D'ESPAGNAC;16
388;16160;GOND PONTOUVRE;16
389;16470;SAINT-MICHEL;16
390;17138;SAINT-XANDRE;17
391;17000;LA ROCHELLE;17
392;17140;LAGORD;17
393;17180;PERIGNY;17
394;17340;CHATELAILLON-PLAGE;17
395;17440;AYTRE;17
396;17220;CLAVETTE;17
397;17111;LOIX;17
398;17410;SAINT-MARTIN-DE-RE;17
399;17170;COURCON;17
400;17880;LES PORTES-EN-RE;17
401;17138;PUILBOREAU;17
402;17139;DOMPIERRE-SUR-MER;17
403;17230;MARANS;17
404;17590;ARS-EN-RE;17
405;17690;ANGOULINS;17
406;17300;ROCHEFORT;17
407;17430;TONNAY CHARENTE;17
408;17450;FOURAS;17
409;17100;SAINTES;17
410;17600;SAUJON;17
411;17110;SAINT-GEORGES-DE-DIDONNE;17
412;17132;MESCHERS-SUR-GIRONDE;17
413;17120;BARZAN;17
414;17400;ST JEAN D'ANGELY;17
415;18100;VIERZON;18
416;18000;BOURGES;18
417;18400;SAINT-FLORENT-SUR-CHER;18
418;18500;MEHUN-SUR-YEVRE;18
419;18570;MORTHOMIERS;18
420;18500;ALLOUIS;18
421;18200;SAINT-AMAND-MONTROND;18
422;18700;AUBIGNY-SUR-NERE;18
423;19260;TREIGNAC;19
424;19000;TULLE;19
425;19200;USSEL;19
426;19100;BRIVE LA GAILLARDE;19
427;19270;USSAC;19
428;19230;SAINT-SORNIN-LAVOLPS;19
429;19360;MALEMORT;19
430;19270;SAINTE FEREOLE;19
431;21000;DIJON;21
432;22000;SAINT-BRIEUC;22
433;22430;ERQUY;22
434;22400;LAMBALLE-ARMOR;22
435;22170;CHATELAUDREN-PLOUAGAT;22
436;22360;LANGUEUX;22
437;22440;PLOUFRAGAN;22
438;22580;PLOUHA;22
439;22500;PAIMPOL;22
440;22370;PLENEUF-VAL-ANDRE;22
441;22410;SAINT-QUAY-PORTRIEUX;22
442;22190;PLERIN;22
443;22680;BINIC-ETABLES-SUR-MER;22
444;22120;HILLION;22
445;22950;TREGUEUX;22
446;22400;NOYAL;22
447;22650;BEAUSSAIS-SUR-MER;22
448;22100;DINAN;22
449;22380;SAINT-CAST-LE-GUILDO;22
450;22240;FREHEL;22
451;22100;TADEN;22
452;22770;LANCIEUX;22
453;22130;PLANCOET;22
454;22350;CAULNES;22
455;22100;LANVALLAY;22
456;22550;MATIGNON;22
457;22250;BROONS;22
458;22200;GUINGAMP;22
459;22970;PLOUMAGOAR;22
460;22700;PERROS-GUIREC;22
461;22300;LANNION;22
462;22220;TREGUIER;22
463;22660;TREVOU-TREGUIGNEC;22
464;22560;TREBEURDEN;22
465;22310;PLESTIN-LES-GREVES;22
466;22600;LOUDEAC;22
467;23300;LA SOUTERRAINE;23
468;23000;GUERET;23
469;24000;PERIGUEUX;24
470;24750;TRELISSAC;24
471;24750;BOULAZAC ISLE MANOIRE;24
472;24660;COULOUNIEIX-CHAMIERS;24
473;24100;BERGERAC;24
474;33220;PORT-SAINTE-FOY-ET-PONCHAPT;24
475;24510;VAL DE LOUYRE ET CAUDEAU;24
476;24230;LAMOTHE-MONTRAVEL;24
477;24120;TERRASSON LAVILLEDIEU;24
478;24200;SARLAT-LA-CANEDA;24
479;24580;ROUFFIGNAC-ST-CERNIN-DE-REILHA;24
480;24250;CASTELNAUD-LA-CHAPELLE;24
481;25000;BESANCON;25
482;25870;GENEUILLE;25
483;25410;SAINT VIT;25
484;25320;BOUSSIERES;25
485;25620;MAMIROLLE;25
486;25220;ROCHE LEZ BEAUPRE;25
487;25480;MISEREY SALINES;25
488;25870;BONNAY;25
489;25960;DELUZ;25
490;25870;LES AUXONS;25
491;25110;BAUME LES DAMES;25
492;25300;PONTARLIER;25
493;25300;GRANGES NARBOZ;25
494;25370;JOUGNE;25
495;25130;VILLERS LE LAC;25
496;25500;MORTEAU;25
497;25370;LES HOPITAUX NEUFS;25
498;25370;ROCHEJEAN;25
499;25290;ORNANS;25
500;25300;DOUBS;25
501;25800;VALDAHON;25
502;25300;LA CLUSE ET MIJOUX;25
503;25370;METABIEF;25
504;25580;ETALANS;25
505;25500;MONTLEBON;25
506;25240;MOUTHE;25
507;25300;LES FOURGS;25
508;25140;CHARQUEMONT;25
509;25400;AUDINCOURT;25
510;25230;SELONCOURT;25
511;25310;HERIMONCOURT;25
512;25200;MONTBELIARD;25
513;26100;ROMANS-SUR-ISERE;26
514;26000;VALENCE;26
515;26210;MORAS-EN-VALLOIRE;26
516;26200;MONTELIMAR;26
517;26300;BOURG-DE-PEAGE;26
518;26740;MONTBOUCHER-SUR-JABRON;26
519;26500;BOURG LES VALENCE;26
520;26120;CHABEUIL;26
521;26400;CREST;26
522;26290;DONZERE;26
523;26140;SAINT-RAMBERT-D ALBON;26
524;26220;DIEULEFIT;26
525;26790;TULETTE;26
526;26800;BEAUVALLON;26
527;26110;MIRABEL-AUX-BARONNIES;26
528;26270;LORIOL SUR DROME;26
529;26700;PIERRELATTE;26
530;26130;SAINT-PAUL-TROIS-CHATEAUX;26
531;26120;MONTELIER;26
532;26250;LIVRON SUR DROME;26
533;26800;PORTES LES VALENCE;26
534;26110;NYONS;26
535;26740;SAUZET;26
536;26260;SAINT-DONAT-SUR-L HERBASSE;26
537;26200;ANCONE;26
538;26770;SAINT-PANTALEON-LES-VIGNES;26
539;26420;SAINT-AGNAN-EN-VERCORS;26
540;26600;LA ROCHE DE GLUN;26
541;26540;MOURS-SAINT-EUSEBE;26
542;26240;SAINT VALLIER;26
543;26600;PONT DE L ISERE;26
544;26600;MERCUROL-VEAUNES;26
545;26600;TAIN L HERMITAGE;26
546;26760;BEAUMONT LES VALENCE;26
547;26130;MONTSEGUR-SUR-LAUZON;26
548;26240;PONSAS;26
549;27930;GRAVIGNY;27
550;27250;RUGLES;27
551;27530;EZY SUR EURE;27
552;27000;EVREUX;27
553;27120;PACY-SUR-EURE;27
554;27730;BUEIL;27
555;27200;VERNON;27
556;27950;ST MARCEL;27
557;27190;CONCHES EN OUCHE;27
558;27130;VERNEUIL D'AVRE ET D'ITON;27
559;27140;GISORS;27
560;27700;LES ANDELYS;27
561;27270;LA TRINITE DE REVILLE;27
562;27170;BEAUMONT LE ROGER;27
563;27300;BERNAY;27
564;27600;GAILLON;27
565;28000;CHARTRES;28
566;28320;GALLARDON;28
567;28630;LE COUDRAY;28
568;28230;EPERNON;28
569;28300;MAINVILLIERS;28
570;28310;TOURY;28
571;28130;HANCHES;28
572;28300;LEVES;28
573;28300;GASVILLE OISEME;28
574;28130;MAINTENON;28
575;28110;LUCE;28
576;28130;CHARTAINVILLIERS;28
577;28300;ST PREST;28
578;28320;GAS;28
579;28700;AUNEAU-BLEURY-SAINT-SYMPHORIEN;28
580;28600;LUISANT;28
581;28300;JOUY;28
582;28190;COURVILLE SUR EURE;28
583;28200;CHATEAUDUN;28
584;28200;ST DENIS-LANNERAY;28
585;28100;DREUX;28
586;28500;VERNOUILLET;28
587;28210;LORMAYE;28
588;28210;NOGENT-LE-ROI;28
589;28260;ANET;28
590;28210;CHAUDON;28
591;28350;ST LUBIN DES JONCHERETS;28
592;28170;CHATEAUNEUF EN THYMERAIS;28
593;28380;ST REMY SUR AVRE;28
594;28210;COULOMBS;28
595;28400;NOGENT LE ROTROU;28
596;29000;QUIMPER;29
597;29100;DOUARNENEZ;29
598;29300;QUIMPERLE;29
599;29900;CONCARNEAU;29
600;29930;PONT-AVEN;29
601;29360;CLOHARS CARNOET;29
602;29200;BREST;29
603;29290;SAINT RENAN;29
604;29460;DIRINON;29
605;29800;LANDERNEAU;29
606;29470;PLOUGASTEL-DAOULAS;29
607;29570;CAMARET-SUR-MER;29
608;29160;CROZON;29
609;29550;SAINT-NIC;29
610;29600;MORLAIX;29
611;29400;LANDIVISIAU;29
612;29660;CARANTEC;29
613;29600;SAINT-MARTIN-DES-CHAMPS;29
614;29630;PLOUGASNOU;29
615;29680;ROSCOFF;29
616;20137;PORTO-VECCHIO;2A
617;20000;AJACCIO;2A
618;20110;PROPRIANO;2A
619;20090;AJACCIO;2A
620;20100;SARTENE;2A
621;20144;ZONZA;2A
622;20169;BONIFACIO;2A
623;20128;GROSSETO-PRUGNA;2A
624;20137;LECCI;2A
625;20110;ARBELLARA;2A
626;20166;PIETROSELLA;2A
627;20166;GROSSETO-PRUGNA;2A
628;20160;VICO;2A
629;20111;CASAGLIONE;2A
630;20167;SARROLA-CARCOPINO;2A
631;20140;ARGIUSTA-MORICCIO;2A
632;20166;ALBITRECCIA;2A
633;20140;SERRA-DI-FERRO;2A
634;20117;CAURO;2A
635;20134;PALNECA;2A
636;20167;APPIETTO;2A
637;20111;CALCATOGGIO;2A
638;20131;PIANOTTOLI-CALDARELLO;2A
639;20150;OTA;2A
640;20110;BELVEDERE-CAMPOMORO;2A
641;20146;SOTTA;2A
642;20145;SARI-SOLENZARA;2A
643;20000;LECCI;2A
644;20113;OLMETO;2A
645;20138;COTI-CHIAVARI;2A
646;20140;CASALABRIVA;2A
647;20163;TAVERA;2A
648;20118;VICO;2A
649;20122;QUENZA;2A
650;20129;BASTELICACCIA;2A
651;20115;PIANA;2A
652;20118;COGGIA;2A
653;20157;FRASSETO;2A
654;20167;CUTTOLI-CORTICCHIATO;2A
655;20190;SANTA-MARIA-SICHE;2A
656;20160;COGGIA;2A
657;20128;ALBITRECCIA;2A
658;20110;VIGGIANELLO;2A
659;20000;AJACCIO;2A
660;20220;AREGNO;2B
661;20220;L'ILE ROUSSE;2B
662;20221;CERVIONE;2B
663;20232;OLETTA;2B
664;30240;LE GRAU DU ROI;30
665;30220;AIGUES-MORTES;30
666;30900;NIMES;30
667;30000;NIMES;30
668;30420;CALVISSON;30
669;30170;DURFORT-ET-SAINT-MARTIN-DE-;30
670;30600;VAUVERT;30
671;30132;CAISSARGUES;30
672;30540;MILHAUD;30
673;30870;CLARENSAC;30
674;30230;BOUILLARGUES;30
675;30128;GARONS;30
676;30250;SOMMIERES;30
677;30940;SAINT ANDRE DE VALBORGNE;30
678;30660;GALLARGUES-LE-MONTUEUX;30
679;30620;BERNIS;30
680;30670;AIGUES-VIVES;30
681;30980;SAINT-DIONISY;30
682;30190;GARRIGUES SAINTE EULALIE;30
683;30610;SAUVE;30
684;30190;LA CALMETTE;30
685;30460;LASALLE;30
686;30220;SAINT-LAURENT-D AIGOUZE;30
687;30620;AUBORD;30
688;30470;AIMARGUES;30
689;30230;RODILHAN;30
690;30260;SARDAN;30
